Name,Duration
MoE route,304.798 μs
MegaBlock generate indices,550.263 μs
MegaBlock padded and reorder tokens,244.423 μs
MegaBlock generate topo,710.939 μs
MegaBlock mlp forward,635.895 μs
MegaBlock reorder and remove padding,189.844 μs
MegaSparse generate indices,606.265 μs
MegaSparse generate topo,568.134 μs
MoE route,300.247 μs
MegaBlock generate indices,538.468 μs
MegaBlock padded and reorder tokens,256.059 μs
MegaBlock generate topo,692.743 μs
MegaBlock mlp forward,592.354 μs
MegaBlock reorder and remove padding,171.901 μs
MegaSparse generate indices,573.800 μs
MegaSparse generate topo,644.752 μs
MoE route,312.975 μs
MegaBlock generate indices,533.143 μs
MegaBlock padded and reorder tokens,259.847 μs
MegaBlock generate topo,696.962 μs
MegaBlock mlp forward,584.602 μs
MegaBlock reorder and remove padding,178.479 μs
MegaSparse generate indices,572.245 μs
MegaSparse generate topo,653.728 μs
MoE route,314.126 μs
MegaBlock generate indices,544.297 μs
MegaBlock padded and reorder tokens,246.884 μs
MegaBlock generate topo,698.658 μs
MegaBlock mlp forward,600.379 μs
MegaBlock reorder and remove padding,173.613 μs
MegaSparse generate indices,567.062 μs
MegaSparse generate topo,671.775 μs
MoE route,301.133 μs
MegaBlock generate indices,542.801 μs
MegaBlock padded and reorder tokens,239.493 μs
MegaBlock generate topo,691.559 μs
MegaBlock mlp forward,583.852 μs
MegaBlock reorder and remove padding,195.549 μs
MegaSparse generate indices,580.909 μs
MegaSparse generate topo,651.584 μs
MoE route,298.687 μs
MegaBlock generate indices,543.419 μs
MegaBlock padded and reorder tokens,251.233 μs
MegaBlock generate topo,692.958 μs
MegaBlock mlp forward,579.934 μs
MegaBlock reorder and remove padding,165.051 μs
MegaSparse generate indices,580.321 μs
MegaSparse generate topo,658.062 μs
MoE route,312.221 μs
MegaBlock generate indices,531.038 μs
MegaBlock padded and reorder tokens,271.800 μs
MegaBlock generate topo,708.795 μs
MegaBlock mlp forward,589.589 μs
MegaBlock reorder and remove padding,175.092 μs
MegaSparse generate indices,587.380 μs
MegaSparse generate topo,647.075 μs
MoE route,318.969 μs
MegaBlock generate indices,551.893 μs
MegaBlock padded and reorder tokens,237.851 μs
MegaBlock generate topo,703.950 μs
MegaBlock mlp forward,582.881 μs
MegaBlock reorder and remove padding,169.412 μs
MegaSparse generate indices,568.295 μs
MegaSparse generate topo,684.748 μs
MoE route,300.784 μs
MegaBlock generate indices,544.989 μs
MegaBlock padded and reorder tokens,239.316 μs
MegaBlock generate topo,713.234 μs
MegaBlock mlp forward,572.494 μs
MegaBlock reorder and remove padding,175.647 μs
MegaSparse generate indices,576.259 μs
MegaSparse generate topo,688.532 μs
MoE route,299.207 μs
MegaBlock generate indices,539.820 μs
MegaBlock padded and reorder tokens,249.546 μs
MegaBlock generate topo,704.684 μs
MegaBlock mlp forward,585.381 μs
MegaBlock reorder and remove padding,166.138 μs
MegaSparse generate indices,569.874 μs
MegaSparse generate topo,665.954 μs
