Name,Start,Duration,TID,GPU,Context
MoE route [31.567 μs],47.3433s,31.567 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [442.105 μs],47.3434s,442.105 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [165.098 μs],47.3439s,165.098 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [572.149 μs],47.3441s,572.149 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.497 ms],47.345s,1.497 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.248 μs],47.3465s,16.248 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.152 μs],47.3465s,46.152 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [174.404 μs],47.3466s,174.404 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.971 μs],47.3469s,483.971 μs,457618,GPU 0,Stream 7
MoE route [29.393 μs],47.3474s,29.393 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [354.087 μs],47.3474s,354.087 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [178.050 μs],47.3478s,178.050 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [555.005 μs],47.3481s,555.005 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.485 ms],47.349s,1.485 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.471 μs],47.3504s,16.471 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.120 μs],47.3505s,46.120 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [172.965 μs],47.3505s,172.965 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.018 μs],47.3508s,486.018 μs,457618,GPU 0,Stream 7
MoE route [31.440 μs],47.3513s,31.440 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [330.163 μs],47.3513s,330.163 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [169.159 μs],47.3518s,169.159 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [546.562 μs],47.352s,546.562 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.494 ms],47.3528s,1.494 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [15.959 μs],47.3543s,15.959 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [50.053 μs],47.3544s,50.053 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [176.931 μs],47.3544s,176.931 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.203 μs],47.3547s,483.203 μs,457618,GPU 0,Stream 7
MoE route [31.567 μs],47.3552s,31.567 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [379.737 μs],47.3552s,379.737 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [163.083 μs],47.3557s,163.083 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [550.336 μs],47.3559s,550.336 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.486 ms],47.3568s,1.486 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.151 μs],47.3583s,16.151 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.152 μs],47.3583s,46.152 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [183.392 μs],47.3583s,183.392 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.418 μs],47.3587s,484.418 μs,457618,GPU 0,Stream 7
MoE route [31.599 μs],47.3591s,31.599 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [324.054 μs],47.3592s,324.054 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [176.867 μs],47.3596s,176.867 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [499.706 μs],47.3598s,499.706 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.495 ms],47.3606s,1.495 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.631 μs],47.3621s,16.631 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [50.246 μs],47.3621s,50.246 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [164.970 μs],47.3622s,164.970 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.618 μs],47.3625s,483.618 μs,457618,GPU 0,Stream 7
MoE route [29.488 μs],47.363s,29.488 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [330.611 μs],47.363s,330.611 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [162.251 μs],47.3634s,162.251 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [512.979 μs],47.3636s,512.979 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.489 ms],47.3645s,1.489 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.279 μs],47.366s,16.279 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.958 μs],47.366s,49.958 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [161.292 μs],47.366s,161.292 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.778 μs],47.3663s,483.778 μs,457618,GPU 0,Stream 7
MoE route [31.535 μs],47.3668s,31.535 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [341.453 μs],47.3668s,341.453 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [162.443 μs],47.3673s,162.443 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [517.009 μs],47.3675s,517.009 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.488 ms],47.3683s,1.488 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.280 μs],47.3698s,16.280 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.422 μs],47.3698s,48.422 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [169.255 μs],47.3699s,169.255 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.834 μs],47.3702s,484.834 μs,457618,GPU 0,Stream 7
MoE route [31.503 μs],47.3707s,31.503 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [317.946 μs],47.3707s,317.946 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [160.204 μs],47.3711s,160.204 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [504.024 μs],47.3713s,504.024 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.491 ms],47.3721s,1.491 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [15.895 μs],47.3736s,15.895 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.990 μs],47.3736s,49.990 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [178.946 μs],47.3737s,178.946 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.139 μs],47.374s,483.139 μs,457618,GPU 0,Stream 7
MoE route [31.535 μs],47.3745s,31.535 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [324.055 μs],47.3745s,324.055 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [173.669 μs],47.3749s,173.669 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [497.660 μs],47.3751s,497.660 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.485 ms],47.3759s,1.485 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.215 μs],47.3774s,16.215 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.191 μs],47.3774s,49.191 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [187.518 μs],47.3775s,187.518 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.273 μs],47.3778s,486.273 μs,457618,GPU 0,Stream 7
MoE route [31.408 μs],47.3783s,31.408 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [326.869 μs],47.3783s,326.869 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [184.256 μs],47.3787s,184.256 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [508.086 μs],47.3789s,508.086 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.483 ms],47.3797s,1.483 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.343 μs],47.3812s,16.343 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.440 μs],47.3812s,46.440 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [174.852 μs],47.3813s,174.852 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [487.296 μs],47.3816s,487.296 μs,457618,GPU 0,Stream 7
MoE route [31.439 μs],47.3821s,31.439 μs,457618,GPU 0,Stream 7
