Name,Start,Duration,TID,Category
MoE route,47.343s,304.558 μs,457618,
MegaBlock generate indices,47.3433s,496.010 μs,457618,
MegaBlock padded and reorder tokens,47.3438s,232.504 μs,457618,
MegaBlock generate topo,47.3441s,662.779 μs,457618,
MegaBlock mlp forward,47.3447s,602.932 μs,457618,
MegaBlock reorder and remove padding,47.3453s,167.950 μs,457618,
MegaSparse generate indices,47.3455s,487.360 μs,457618,
MegaSparse generate topo,47.346s,723.473 μs,457618,
MegaSparse mlp forward,47.3468s,243.647 μs,457618,
MoE route,47.347s,263.983 μs,457618,
MegaBlock generate indices,47.3473s,470.686 μs,457618,
MegaBlock padded and reorder tokens,47.3478s,269.113 μs,457618,
MegaBlock generate topo,47.348s,657.977 μs,457618,
MegaBlock mlp forward,47.3487s,601.254 μs,457618,
MegaBlock reorder and remove padding,47.3493s,167.939 μs,457618,
MegaSparse generate indices,47.3495s,497.043 μs,457618,
MegaSparse generate topo,47.35s,692.274 μs,457618,
MegaSparse mlp forward,47.3507s,223.059 μs,457618,
MoE route,47.351s,278.245 μs,457618,
MegaBlock generate indices,47.3512s,444.394 μs,457618,
MegaBlock padded and reorder tokens,47.3517s,244.848 μs,457618,
MegaBlock generate topo,47.3519s,641.602 μs,457618,
MegaBlock mlp forward,47.3526s,594.967 μs,457618,
MegaBlock reorder and remove padding,47.3532s,174.390 μs,457618,
MegaSparse generate indices,47.3534s,506.594 μs,457618,
MegaSparse generate topo,47.3539s,701.171 μs,457618,
MegaSparse mlp forward,47.3546s,266.739 μs,457618,
MoE route,47.3549s,259.721 μs,457618,
MegaBlock generate indices,47.3552s,469.517 μs,457618,
MegaBlock padded and reorder tokens,47.3556s,227.321 μs,457618,
MegaBlock generate topo,47.3559s,639.255 μs,457618,
MegaBlock mlp forward,47.3565s,587.881 μs,457618,
MegaBlock reorder and remove padding,47.3571s,178.222 μs,457618,
MegaSparse generate indices,47.3573s,495.409 μs,457618,
MegaSparse generate topo,47.3578s,722.101 μs,457618,
MegaSparse mlp forward,47.3585s,221.230 μs,457618,
MoE route,47.3588s,256.979 μs,457618,
MegaBlock generate indices,47.359s,458.375 μs,457618,
MegaBlock padded and reorder tokens,47.3595s,240.137 μs,457618,
MegaBlock generate topo,47.3598s,598.206 μs,457618,
MegaBlock mlp forward,47.3604s,612.835 μs,457618,
MegaBlock reorder and remove padding,47.361s,172.332 μs,457618,
MegaSparse generate indices,47.3612s,515.069 μs,457618,
MegaSparse generate topo,47.3617s,684.928 μs,457618,
MegaSparse mlp forward,47.3624s,220.742 μs,457618,
MoE route,47.3626s,276.090 μs,457618,
MegaBlock generate indices,47.3629s,445.554 μs,457618,
MegaBlock padded and reorder tokens,47.3634s,236.381 μs,457618,
MegaBlock generate topo,47.3636s,598.619 μs,457618,
MegaBlock mlp forward,47.3642s,613.386 μs,457618,
MegaBlock reorder and remove padding,47.3648s,163.837 μs,457618,
MegaSparse generate indices,47.365s,519.219 μs,457618,
MegaSparse generate topo,47.3655s,672.562 μs,457618,
MegaSparse mlp forward,47.3662s,224.112 μs,457618,
MoE route,47.3665s,258.568 μs,457618,
MegaBlock generate indices,47.3667s,458.380 μs,457618,
MegaBlock padded and reorder tokens,47.3672s,225.531 μs,457618,
MegaBlock generate topo,47.3674s,602.517 μs,457618,
MegaBlock mlp forward,47.368s,619.381 μs,457618,
MegaBlock reorder and remove padding,47.3687s,174.777 μs,457618,
MegaSparse generate indices,47.3689s,509.316 μs,457618,
MegaSparse generate topo,47.3694s,673.114 μs,457618,
MegaSparse mlp forward,47.3701s,235.625 μs,457618,
MoE route,47.3703s,254.045 μs,457618,
MegaBlock generate indices,47.3706s,454.788 μs,457618,
MegaBlock padded and reorder tokens,47.371s,225.023 μs,457618,
MegaBlock generate topo,47.3713s,588.134 μs,457618,
MegaBlock mlp forward,47.3719s,565.230 μs,457618,
MegaBlock reorder and remove padding,47.3724s,205.759 μs,457618,
MegaSparse generate indices,47.3727s,494.546 μs,457618,
MegaSparse generate topo,47.3732s,706.390 μs,457618,
MegaSparse mlp forward,47.3739s,222.230 μs,457618,
MoE route,47.3741s,252.595 μs,457618,
MegaBlock generate indices,47.3744s,458.552 μs,457618,
MegaBlock padded and reorder tokens,47.3748s,235.424 μs,457618,
MegaBlock generate topo,47.3751s,597.616 μs,457618,
MegaBlock mlp forward,47.3757s,536.940 μs,457618,
MegaBlock reorder and remove padding,47.3762s,167.965 μs,457618,
MegaSparse generate indices,47.3765s,509.562 μs,457618,
MegaSparse generate topo,47.377s,720.886 μs,457618,
MegaSparse mlp forward,47.3777s,217.679 μs,457618,
MoE route,47.3779s,263.503 μs,457618,
MegaBlock generate indices,47.3782s,444.705 μs,457618,
