Name,Duration
MoE route,274.088 μs
MegaBlock generate indices,437.348 μs
MegaBlock padded and reorder tokens,234.076 μs
MegaBlock generate topo,640.675 μs
MegaBlock mlp forward,554.015 μs
MegaBlock reorder and remove padding,149.383 μs
MegaSparse generate indices,471.472 μs
MegaSparse generate topo,823.850 μs
MoE route,260.342 μs
MegaBlock generate indices,451.521 μs
MegaBlock padded and reorder tokens,225.673 μs
MegaBlock generate topo,588.842 μs
MegaBlock mlp forward,531.492 μs
MegaBlock reorder and remove padding,162.967 μs
MegaSparse generate indices,458.196 μs
MegaSparse generate topo,898.717 μs
MoE route,257.526 μs
MegaBlock generate indices,451.950 μs
MegaBlock padded and reorder tokens,212.775 μs
MegaBlock generate topo,575.911 μs
MegaBlock mlp forward,582.692 μs
MegaBlock reorder and remove padding,173.481 μs
MegaSparse generate indices,477.431 μs
MegaSparse generate topo,786.812 μs
MoE route,259.885 μs
MegaBlock generate indices,485.348 μs
MegaBlock padded and reorder tokens,225.799 μs
MegaBlock generate topo,607.750 μs
MegaBlock mlp forward,578.775 μs
MegaBlock reorder and remove padding,165.063 μs
MegaSparse generate indices,477.581 μs
MegaSparse generate topo,739.038 μs
MoE route,259.080 μs
MegaBlock generate indices,444.598 μs
MegaBlock padded and reorder tokens,212.438 μs
MegaBlock generate topo,578.864 μs
MegaBlock mlp forward,543.926 μs
MegaBlock reorder and remove padding,149.530 μs
MegaSparse generate indices,522.090 μs
MegaSparse generate topo,735.384 μs
MoE route,285.076 μs
MegaBlock generate indices,426.066 μs
MegaBlock padded and reorder tokens,226.842 μs
MegaBlock generate topo,584.843 μs
MegaBlock mlp forward,537.341 μs
MegaBlock reorder and remove padding,151.890 μs
MegaSparse generate indices,473.590 μs
MegaSparse generate topo,784.715 μs
MoE route,276.965 μs
MegaBlock generate indices,471.908 μs
MegaBlock padded and reorder tokens,216.670 μs
MegaBlock generate topo,582.788 μs
MegaBlock mlp forward,547.092 μs
MegaBlock reorder and remove padding,166.206 μs
MegaSparse generate indices,466.246 μs
MegaSparse generate topo,827.391 μs
MoE route,281.147 μs
MegaBlock generate indices,478.344 μs
MegaBlock padded and reorder tokens,232.272 μs
MegaBlock generate topo,574.346 μs
MegaBlock mlp forward,544.117 μs
MegaBlock reorder and remove padding,151.256 μs
MegaSparse generate indices,477.060 μs
MegaSparse generate topo,779.257 μs
MoE route,291.326 μs
MegaBlock generate indices,471.428 μs
MegaBlock padded and reorder tokens,228.105 μs
MegaBlock generate topo,609.613 μs
MegaBlock mlp forward,542.599 μs
MegaBlock reorder and remove padding,150.817 μs
MegaSparse generate indices,473.279 μs
MegaSparse generate topo,761.537 μs
MoE route,282.364 μs
MegaBlock generate indices,471.229 μs
MegaBlock padded and reorder tokens,230.841 μs
MegaBlock generate topo,617.947 μs
MegaBlock mlp forward,546.081 μs
MegaBlock reorder and remove padding,149.254 μs
MegaSparse generate indices,503.112 μs
MegaSparse generate topo,747.905 μs
MoE route,284.617 μs
MegaBlock generate indices,439.281 μs
MegaBlock padded and reorder tokens,242.183 μs
MegaBlock generate topo,644.933 μs
MegaBlock mlp forward,566.584 μs
MegaBlock reorder and remove padding,151.965 μs
MegaSparse generate indices,475.674 μs
MegaSparse generate topo,757.325 μs
MoE route,258.812 μs
MegaBlock generate indices,453.048 μs
MegaBlock padded and reorder tokens,215.334 μs
MegaBlock generate topo,620.558 μs
MegaBlock mlp forward,562.117 μs
MegaBlock reorder and remove padding,177.831 μs
MegaSparse generate indices,471.988 μs
MoE route,257.981 μs
MegaBlock generate indices,450.119 μs
MegaBlock padded and reorder tokens,256.351 μs
MegaBlock generate topo,612.180 μs
MegaBlock mlp forward,574.145 μs
MegaBlock reorder and remove padding,179.260 μs
MegaSparse generate indices,510.305 μs
MegaSparse generate topo,721.073 μs
MoE route,259.680 μs
MegaBlock generate indices,449.802 μs
MegaBlock padded and reorder tokens,220.881 μs
MegaBlock generate topo,585.067 μs
MegaBlock mlp forward,532.661 μs
MegaBlock reorder and remove padding,149.989 μs
MegaSparse generate indices,471.185 μs
MegaSparse generate topo,894.584 μs
MoE route,259.356 μs
MegaBlock generate indices,443.530 μs
MegaBlock padded and reorder tokens,218.378 μs
MegaBlock generate topo,584.555 μs
MegaBlock mlp forward,549.219 μs
MegaBlock reorder and remove padding,150.460 μs
MegaSparse generate indices,469.332 μs
MegaSparse generate topo,858.224 μs
MoE route,259.312 μs
MegaBlock generate indices,446.977 μs
MegaBlock padded and reorder tokens,214.402 μs
MegaBlock generate topo,573.622 μs
MegaBlock mlp forward,533.481 μs
MegaBlock reorder and remove padding,159.972 μs
MegaSparse generate indices,471.121 μs
MegaSparse generate topo,820.823 μs
MoE route,272.092 μs
MegaBlock generate indices,427.782 μs
MegaBlock padded and reorder tokens,228.781 μs
MegaBlock generate topo,586.587 μs
MegaBlock mlp forward,531.875 μs
MegaBlock reorder and remove padding,151.730 μs
MegaSparse generate indices,480.634 μs
MegaSparse generate topo,826.215 μs
MoE route,273.935 μs
MegaBlock generate indices,432.015 μs
MegaBlock padded and reorder tokens,228.437 μs
MegaBlock generate topo,570.709 μs
MegaBlock mlp forward,529.901 μs
MegaBlock reorder and remove padding,167.040 μs
MegaSparse generate indices,462.442 μs
MoE route,276.180 μs
MegaBlock generate indices,449.377 μs
MegaBlock padded and reorder tokens,215.287 μs
MegaBlock generate topo,579.833 μs
MegaBlock mlp forward,529.999 μs
MegaBlock reorder and remove padding,159.601 μs
MegaSparse generate indices,473.376 μs
MegaSparse generate topo,764.828 μs
MoE route,271.886 μs
MegaBlock generate indices,429.991 μs
MegaBlock padded and reorder tokens,227.037 μs
MegaBlock generate topo,574.779 μs
MegaBlock mlp forward,523.302 μs
MegaBlock reorder and remove padding,163.621 μs
MegaSparse generate indices,472.297 μs
MegaSparse generate topo,869.909 μs
MoE route,261.188 μs
MegaBlock generate indices,437.372 μs
MegaBlock padded and reorder tokens,214.525 μs
MegaBlock generate topo,573.350 μs
MegaBlock mlp forward,533.257 μs
MegaBlock reorder and remove padding,173.641 μs
MegaSparse generate indices,452.313 μs
MegaSparse generate topo,939.622 μs
MoE route,268.563 μs
MegaBlock generate indices,445.062 μs
MegaBlock padded and reorder tokens,217.721 μs
MegaBlock generate topo,576.771 μs
MegaBlock mlp forward,566.888 μs
MegaBlock reorder and remove padding,174.162 μs
MegaSparse generate indices,485.191 μs
MegaSparse generate topo,800.624 μs
MoE route,258.085 μs
MegaBlock generate indices,456.066 μs
MegaBlock padded and reorder tokens,218.260 μs
MegaBlock generate topo,569.688 μs
MegaBlock mlp forward,544.407 μs
MegaBlock reorder and remove padding,152.139 μs
MegaSparse generate indices,463.224 μs
MegaSparse generate topo,783.145 μs
MoE route,273.961 μs
MegaBlock generate indices,439.592 μs
MegaBlock padded and reorder tokens,218.800 μs
MegaBlock generate topo,589.465 μs
MegaBlock mlp forward,531.043 μs
MegaBlock reorder and remove padding,148.584 μs
MegaSparse generate indices,469.014 μs
MegaSparse generate topo,779.474 μs
MoE route,266.565 μs
MegaBlock generate indices,422.930 μs
MegaBlock padded and reorder tokens,228.700 μs
MegaBlock generate topo,573.096 μs
MegaBlock mlp forward,531.662 μs
MegaBlock reorder and remove padding,165.339 μs
MegaSparse generate indices,467.720 μs
MegaSparse generate topo,771.951 μs
MoE route,260.326 μs
MegaBlock generate indices,448.637 μs
MegaBlock padded and reorder tokens,219.022 μs
MegaBlock generate topo,573.991 μs
MegaBlock mlp forward,538.767 μs
MegaBlock reorder and remove padding,153.216 μs
MegaSparse generate indices,467.136 μs
MegaSparse generate topo,805.058 μs
MoE route,261.597 μs
MegaBlock generate indices,452.659 μs
MegaBlock padded and reorder tokens,230.738 μs
MegaBlock generate topo,607.161 μs
MegaBlock mlp forward,550.233 μs
MegaBlock reorder and remove padding,183.415 μs
MegaSparse generate indices,499.637 μs
MegaSparse generate topo,722.609 μs
MoE route,277.713 μs
MegaBlock generate indices,422.922 μs
MegaBlock padded and reorder tokens,233.462 μs
MegaBlock generate topo,579.674 μs
MegaBlock mlp forward,542.931 μs
MegaBlock reorder and remove padding,152.219 μs
MegaSparse generate indices,469.816 μs
MegaSparse generate topo,779.715 μs
MoE route,275.139 μs
MegaBlock generate indices,452.175 μs
MegaBlock padded and reorder tokens,228.632 μs
MegaBlock generate topo,566.850 μs
MegaBlock mlp forward,536.742 μs
MegaBlock reorder and remove padding,163.745 μs
MegaSparse generate indices,451.578 μs
MegaSparse generate topo,806.932 μs
MoE route,259.166 μs
MegaBlock generate indices,438.639 μs
MegaBlock padded and reorder tokens,223.843 μs
MegaBlock generate topo,580.684 μs
MegaBlock mlp forward,540.481 μs
MegaBlock reorder and remove padding,150.341 μs
MegaSparse generate indices,469.855 μs
MegaSparse generate topo,795.480 μs
MoE route,278.029 μs
MegaBlock generate indices,446.749 μs
MegaBlock padded and reorder tokens,216.197 μs
MegaBlock generate topo,570.536 μs
MegaBlock mlp forward,596.978 μs
MegaBlock reorder and remove padding,184.679 μs
MegaSparse generate indices,497.432 μs
MegaSparse generate topo,650.567 μs
MoE route,269.950 μs
MegaBlock generate indices,424.354 μs
MegaBlock padded and reorder tokens,242.699 μs
MegaBlock generate topo,566.373 μs
MegaBlock mlp forward,526.563 μs
MegaBlock reorder and remove padding,168.134 μs
MegaSparse generate indices,468.639 μs
MegaSparse generate topo,769.736 μs
MoE route,261.560 μs
MegaBlock generate indices,441.461 μs
MegaBlock padded and reorder tokens,217.625 μs
MegaBlock generate topo,615.661 μs
MegaBlock mlp forward,572.800 μs
MegaBlock reorder and remove padding,159.405 μs
MegaSparse generate indices,465.767 μs
MegaSparse generate topo,752.080 μs
MoE route,263.036 μs
MegaBlock generate indices,436.127 μs
MegaBlock padded and reorder tokens,218.696 μs
MegaBlock generate topo,567.083 μs
MegaBlock mlp forward,551.459 μs
MegaBlock reorder and remove padding,149.078 μs
MegaSparse generate indices,470.783 μs
MegaSparse generate topo,765.979 μs
MoE route,267.449 μs
MegaBlock generate indices,421.911 μs
MegaBlock padded and reorder tokens,230.204 μs
MegaBlock generate topo,570.982 μs
MegaBlock mlp forward,550.728 μs
MegaBlock reorder and remove padding,153.388 μs
MegaSparse generate indices,470.469 μs
MegaSparse generate topo,750.059 μs
MoE route,261.451 μs
MegaBlock generate indices,447.349 μs
MegaBlock padded and reorder tokens,216.829 μs
MegaBlock generate topo,571.694 μs
MegaBlock mlp forward,540.927 μs
MegaBlock reorder and remove padding,150.233 μs
MegaSparse generate indices,452.350 μs
MegaSparse generate topo,808.110 μs
MoE route,255.126 μs
MegaBlock generate indices,446.386 μs
MegaBlock padded and reorder tokens,217.006 μs
MegaBlock generate topo,571.498 μs
MegaBlock mlp forward,560.485 μs
MegaBlock reorder and remove padding,160.730 μs
MegaSparse generate indices,465.162 μs
MegaSparse generate topo,763.189 μs
MoE route,278.106 μs
MegaBlock generate indices,428.475 μs
MegaBlock padded and reorder tokens,237.605 μs
MegaBlock generate topo,568.427 μs
MegaBlock mlp forward,566.582 μs
MegaBlock reorder and remove padding,164.770 μs
MegaSparse generate indices,498.171 μs
MegaSparse generate topo,707.224 μs
MoE route,301.156 μs
MegaBlock generate indices,465.174 μs
MegaBlock padded and reorder tokens,244.411 μs
MegaBlock generate topo,609.050 μs
MegaBlock mlp forward,556.370 μs
MegaBlock reorder and remove padding,175.571 μs
MegaSparse generate indices,481.272 μs
MegaSparse generate topo,748.152 μs
MoE route,256.210 μs
MegaBlock generate indices,450.876 μs
MegaBlock padded and reorder tokens,222.388 μs
MegaBlock generate topo,570.892 μs
MegaBlock mlp forward,540.454 μs
MegaBlock reorder and remove padding,149.985 μs
MegaSparse generate indices,465.612 μs
MegaSparse generate topo,793.899 μs
MoE route,258.502 μs
MegaBlock generate indices,444.008 μs
MegaBlock padded and reorder tokens,216.313 μs
MegaBlock generate topo,579.567 μs
MegaBlock mlp forward,542.754 μs
MegaBlock reorder and remove padding,151.695 μs
MegaSparse generate indices,471.832 μs
MegaSparse generate topo,755.472 μs
MoE route,265.065 μs
MegaBlock generate indices,427.710 μs
MegaBlock padded and reorder tokens,234.266 μs
MegaBlock generate topo,580.125 μs
MegaBlock mlp forward,552.481 μs
MegaBlock reorder and remove padding,154.519 μs
MegaSparse generate indices,474.307 μs
MegaSparse generate topo,760.993 μs
MoE route,255.122 μs
MegaBlock generate indices,440.872 μs
MegaBlock padded and reorder tokens,218.702 μs
MegaBlock generate topo,574.066 μs
MegaBlock mlp forward,549.024 μs
MegaBlock reorder and remove padding,152.063 μs
MegaSparse generate indices,452.213 μs
MegaSparse generate topo,796.290 μs
MoE route,256.190 μs
MegaBlock generate indices,446.274 μs
MegaBlock padded and reorder tokens,217.237 μs
MegaBlock generate topo,573.832 μs
MegaBlock mlp forward,548.749 μs
MegaBlock reorder and remove padding,150.861 μs
MegaSparse generate indices,518.462 μs
MegaSparse generate topo,727.236 μs
MoE route,279.030 μs
MegaBlock generate indices,428.956 μs
MegaBlock padded and reorder tokens,233.035 μs
MegaBlock generate topo,580.806 μs
MegaBlock mlp forward,552.599 μs
MegaBlock reorder and remove padding,152.728 μs
MegaSparse generate indices,464.016 μs
MegaSparse generate topo,765.612 μs
MoE route,258.168 μs
MegaBlock generate indices,455.724 μs
MegaBlock padded and reorder tokens,219.965 μs
MegaBlock generate topo,585.265 μs
MegaBlock mlp forward,547.404 μs
MegaBlock reorder and remove padding,163.435 μs
MegaSparse generate indices,450.923 μs
MegaSparse generate topo,808.629 μs
MoE route,264.044 μs
MegaBlock generate indices,447.988 μs
MegaBlock padded and reorder tokens,217.269 μs
MegaBlock generate topo,573.266 μs
MegaBlock mlp forward,565.233 μs
MegaBlock reorder and remove padding,151.227 μs
MegaSparse generate indices,471.544 μs
MegaSparse generate topo,772.041 μs
MoE route,319.952 μs
MegaBlock generate indices,471.236 μs
MegaBlock padded and reorder tokens,230.415 μs
MegaBlock generate topo,601.995 μs
MegaBlock mlp forward,554.252 μs
MegaBlock reorder and remove padding,152.597 μs
MegaSparse generate indices,473.287 μs
MegaSparse generate topo,759.195 μs
MoE route,294.027 μs
MegaBlock generate indices,472.668 μs
MegaBlock padded and reorder tokens,255.568 μs
MegaBlock generate topo,607.486 μs
MegaBlock mlp forward,562.649 μs
MegaBlock reorder and remove padding,161.169 μs
MegaSparse generate indices,468.568 μs
MegaSparse generate topo,762.239 μs
MoE route,266.235 μs
MegaBlock generate indices,434.851 μs
MegaBlock padded and reorder tokens,230.726 μs
MegaBlock generate topo,579.705 μs
MegaBlock mlp forward,539.198 μs
MegaBlock reorder and remove padding,174.721 μs
MegaSparse generate indices,458.901 μs
MegaSparse generate topo,792.536 μs
MoE route,257.215 μs
MegaBlock generate indices,446.906 μs
MegaBlock padded and reorder tokens,221.275 μs
MegaBlock generate topo,583.752 μs
MegaBlock mlp forward,544.436 μs
MegaBlock reorder and remove padding,149.763 μs
MegaSparse generate indices,475.698 μs
MegaSparse generate topo,798.113 μs
MoE route,259.673 μs
MegaBlock generate indices,440.634 μs
MegaBlock padded and reorder tokens,218.849 μs
MegaBlock generate topo,579.964 μs
MegaBlock mlp forward,549.804 μs
MegaBlock reorder and remove padding,151.112 μs
MegaSparse generate indices,469.938 μs
MegaSparse generate topo,760.404 μs
MoE route,288.417 μs
MegaBlock generate indices,437.136 μs
MegaBlock padded and reorder tokens,237.201 μs
MegaBlock generate topo,571.889 μs
MegaBlock mlp forward,557.470 μs
MegaBlock reorder and remove padding,152.803 μs
MegaSparse generate indices,483.140 μs
MegaSparse generate topo,749.243 μs
MoE route,285.377 μs
MegaBlock generate indices,468.303 μs
MegaBlock padded and reorder tokens,243.834 μs
MegaBlock generate topo,582.660 μs
MegaBlock mlp forward,537.510 μs
MegaBlock reorder and remove padding,166.639 μs
MegaSparse generate indices,453.195 μs
MegaSparse generate topo,793.879 μs
MoE route,258.644 μs
MegaBlock generate indices,453.367 μs
